index,x,y,z,xn,yn,zn,error
1432,-14.955176,-1.732660,-1.201109,-0.218313,-0.639455,-0.737181,10.036729
1433,-15.895463,-1.643014,-1.010676,-0.249039,-0.628212,-0.737108,9.475295
1434,-16.858105,-1.584758,-0.793938,-0.251030,-0.612597,-0.749473,8.279055
1435,-17.786262,-1.578867,-0.485697,-0.596739,-0.540717,-0.592897,4.083232
1437,-17.692731,-2.347657,0.116056,-0.358192,-0.565207,-0.743128,8.090545
1438,-16.726921,-2.427492,-0.188159,-0.218600,-0.634693,-0.741201,6.403052
1439,-15.802680,-2.432224,-0.416498,-0.195131,-0.670539,-0.715752,6.794257
1440,-14.839745,-2.460871,-0.641138,-0.204027,-0.681758,-0.702551,1.617042
1441,-13.922359,-2.593552,-0.957689,-0.212100,-0.690620,-0.691417,5.773052
1442,-13.074576,-2.803177,-0.561462,-0.211158,-0.711255,-0.670468,11.645404
1443,-13.856817,-3.207418,-0.156555,-0.218975,-0.729498,-0.647984,1.783485
1444,-14.815481,-3.157098,0.148473,-0.154983,-0.727133,-0.668774,3.940664
1445,-15.684261,-3.106643,0.411095,-0.143737,-0.698455,-0.701070,8.801601
1446,-16.640490,-3.091482,0.635828,-0.120486,-0.646493,-0.753346,5.409289
1447,-17.601484,-3.190557,0.731075,-0.235385,-0.626118,-0.743351,9.491130
1448,-18.348279,-3.470420,1.153476,-0.724441,-0.358285,-0.588912,7.643737
1449,-17.463183,-3.940815,1.237097,-0.243751,-0.609775,-0.754162,5.781667
1450,-16.482271,-3.820217,1.196636,-0.085156,-0.628358,-0.773249,5.770003
1451,-15.540394,-3.723315,1.068806,-0.038055,-0.679940,-0.732279,7.326425
1452,-14.606456,-3.829493,0.767133,-0.105966,-0.733309,-0.671587,2.226286
1453,-13.649694,-3.805876,0.604942,-0.179416,-0.769427,-0.613019,11.761372
1454,-12.704037,-4.064684,0.899126,-0.111961,-0.868889,-0.482179,23.517068
1455,-13.440272,-4.482517,1.314903,-0.030015,-0.809624,-0.586181,12.993680
1456,-14.353499,-4.389087,1.544823,-0.048469,-0.748657,-0.661184,7.071815
1457,-15.296910,-4.454346,1.702933,0.070470,-0.611955,-0.787747,11.872271
1458,-16.232280,-4.459069,1.746001,-0.007349,-0.573964,-0.818848,11.372321
1459,-17.246750,-4.624945,1.774584,-0.143713,-0.592586,-0.792584,5.670684
1460,-18.141093,-4.473120,1.803540,-0.632546,-0.409112,-0.657657,8.124892
1461,-18.148533,-5.067727,2.339012,-0.614068,-0.595185,-0.518338,1.719942
1462,-17.129601,-5.273211,2.124352,-0.143123,-0.599852,-0.787206,1.611424
1463,-16.161209,-5.174835,2.055056,0.030699,-0.526692,-0.849502,3.467720
1464,-15.217901,-5.018454,2.187089,0.233163,-0.632617,-0.738533,9.435682
1465,-14.286444,-4.799887,2.175682,0.324840,-0.750613,-0.575378,11.796134
1466,-13.273681,-4.716406,2.068074,0.139251,-0.884696,-0.444885,11.743506
1467,-12.346027,-4.641407,1.958855,0.153458,-0.958472,-0.240381,9.737181
1536,-11.834100,8.564931,-5.077539,-0.091469,-0.248437,-0.964320,10.853313
1537,-11.036278,7.957153,-4.802738,0.302129,-0.703105,-0.643709,8.645022
1538,-10.569960,8.059419,-3.962013,0.462291,-0.700685,-0.145092,8.403441
1539,-10.103642,8.161685,-3.121288,0.622452,-0.698264,0.353526,8.161859
1540,-10.170282,8.973151,-2.492894,0.552872,-0.287643,0.782044,12.512580
1541,-10.585774,9.927832,-2.388827,0.092943,0.398506,0.912444,15.214505
1542,-11.096217,10.693173,-2.807191,-0.288771,0.751302,0.593428,6.066820
1543,-11.532207,10.984423,-3.722784,-0.529225,0.814543,0.237574,7.920843
1544,-11.542899,10.812559,-4.639775,-0.697881,0.600682,-0.390055,13.235980
1545,-11.139228,10.181235,-5.359760,-0.562713,0.261674,-0.784143,11.059781
1546,-10.473945,9.499877,-5.514596,-0.255030,-0.110196,-0.960633,7.732765
1547,-9.682721,8.947408,-5.156040,0.303401,-0.704917,-0.641124,11.850846
1548,-9.031512,8.912354,-4.403324,0.511390,-0.844303,-0.160102,6.825823
1549,-8.745066,9.307136,-3.474772,0.650535,-0.609071,0.453692,9.539577
1550,-8.917262,10.096419,-2.958659,0.450032,-0.135195,0.882719,15.936176
1551,-9.348483,11.059903,-2.962906,0.099140,0.355365,0.929455,16.188919
1552,-9.898605,11.727572,-3.544348,-0.368991,0.787844,0.493099,10.682477
1553,-10.276850,11.938897,-4.441724,-0.617895,0.782078,-0.080992,10.550220
1554,-10.170073,11.662983,-5.421624,-0.637401,0.582042,-0.504923,11.433231
1555,-9.694289,11.002840,-6.043947,-0.444864,0.120103,-0.887508,20.155314
1556,-8.953820,10.286561,-6.097560,-0.010680,-0.399475,-0.916682,6.336309
1557,-8.214644,9.860449,-5.626883,0.302619,-0.712658,-0.632883,9.763818
1558,-7.688172,9.907198,-4.746160,0.674224,-0.733982,0.081807,9.321988
1559,-7.473308,10.453009,-3.856603,0.645849,-0.415583,0.640445,6.362631
1560,-7.655133,11.325381,-3.466933,0.524719,-0.089855,0.846520,9.582125
1561,-8.171219,12.206214,-3.599884,0.177572,0.476210,0.861216,9.935604
1562,-8.606269,12.818362,-4.250627,-0.216914,0.798013,0.562248,16.390932
1563,-8.893321,12.974981,-5.252715,-0.591137,0.775552,-0.221529,17.616597
1564,-8.761862,12.545498,-6.167885,-0.607810,0.451335,-0.653348,8.373110
1565,-8.215450,11.805252,-6.617358,-0.347970,-0.057923,-0.935715,9.840788
1566,-7.450175,11.168109,-6.429853,0.131878,-0.444152,-0.886193,12.728690
1567,-6.764208,10.757940,-5.891039,0.395975,-0.769007,-0.501828,0.297197
1568,-6.288361,11.130122,-4.997377,0.631690,-0.761600,0.144683,11.835098
1569,-6.255809,11.903677,-4.305811,0.590788,-0.468447,0.656907,13.241166
1570,-6.647745,12.840288,-4.178984,0.153060,0.428046,0.890702,8.579621
1571,-7.182708,13.630016,-4.669066,-0.278117,0.776664,0.565194,5.902195
1572,-7.589232,13.949010,-5.383829,-0.499262,0.861492,0.092571,8.631408
1573,-7.620395,13.723140,-6.412489,-0.585917,0.561597,-0.584218,1.324856
1574,-7.164255,13.132978,-7.040607,-0.382697,-0.009770,-0.923822,8.703928
1575,-6.443900,12.380864,-7.057335,0.038440,-0.470806,-0.881399,12.632820
1576,-5.727739,11.942982,-6.525853,0.388205,-0.742609,-0.545737,14.162072
1577,-5.152450,11.975310,-5.706917,0.657657,-0.730874,0.182513,5.803668
1578,-5.073222,12.649619,-4.942803,0.664178,-0.320786,0.675250,13.332567
1579,-5.298005,13.577259,-4.693379,0.357148,0.048280,0.932799,14.539527
1580,-5.675157,14.432731,-5.021739,-0.237435,0.593676,0.768878,7.892408
1581,-6.107282,14.920586,-5.822580,-0.508258,0.845753,0.162406,5.495459
1582,-6.237027,14.784636,-6.877375,-0.567462,0.614478,-0.548090,9.813830
1583,-5.908868,13.948078,-7.538694,-0.373583,0.115331,-0.920399,11.109488
1584,-5.260612,13.375463,-7.592549,-0.184811,-0.374329,-0.908693,8.555996
1585,-4.490188,12.886602,-7.092156,0.350719,-0.731001,-0.585350,7.398381
1586,-3.904128,12.897597,-6.341038,0.556861,-0.821937,-0.119691,13.932543
1587,-3.699133,13.517447,-5.542282,0.650946,-0.548906,0.524377,12.553602
1588,-3.895643,14.487382,-5.181684,0.459730,0.143447,0.876397,21.188971
1589,-4.405519,15.343011,-5.509712,-0.000430,0.678524,0.734578,14.095236
